epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,9527.41,1.0139,2.14378,1.01677,1.12081,0,0.7201,0.55932,0.61862,0.43646,0.68878,0.53137,0.56822,0.32302,1.01366,1.99114,0.96942,1.11297,0,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,9813.34,0.99714,2.10857,0.99169,1.1111,0,0.71694,0.55361,0.61081,0.43294,0.70862,0.50321,0.55663,0.32081,1.00714,1.99629,0.96235,1.11654,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,10097.6,0.99218,2.11464,0.9935,1.11313,0,0.7206,0.57319,0.62564,0.44142,0.70487,0.5252,0.56523,0.32617,0.99682,1.99332,0.96092,1.10674,0,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,10385,0.99396,2.12865,0.98995,1.10608,0,0.73373,0.54409,0.61495,0.44178,0.70633,0.51266,0.56261,0.3257,0.99062,1.97903,0.9605,1.10095,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,10670.7,0.9886,2.10903,0.97865,1.10758,0,0.71943,0.55879,0.61588,0.44163,0.69952,0.52576,0.56337,0.3281,0.98613,1.97457,0.93559,1.10197,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,10958.5,0.98839,2.08541,0.97392,1.11154,0,0.72175,0.56812,0.62028,0.44224,0.68624,0.54017,0.56385,0.32547,0.99406,1.94542,0.95239,1.10114,0,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,11243.6,0.98482,2.07362,0.96708,1.10455,0,0.71378,0.5742,0.62351,0.44281,0.67707,0.54722,0.56455,0.32397,0.9954,1.96679,0.93646,1.09637,0,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,11528.7,0.97584,2.06768,0.95943,1.10036,0,0.7418,0.57605,0.62911,0.45037,0.71897,0.53885,0.57175,0.32799,0.97224,1.96077,0.92827,1.08408,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,11815.3,0.97,2.08106,0.95909,1.09829,0,0.73484,0.56945,0.62057,0.44736,0.701,0.53291,0.56561,0.32851,0.96742,1.95364,0.94612,1.08885,0,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,12100.1,0.9597,2.04759,0.9535,1.09584,0,0.72557,0.55602,0.6184,0.44459,0.72315,0.51156,0.56332,0.33338,0.97445,1.9441,0.93992,1.0953,0,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,12383.6,0.96306,2.07726,0.94407,1.09363,0,0.72659,0.57517,0.62555,0.45144,0.69405,0.54656,0.57272,0.33478,0.9676,1.9355,0.92018,1.0823,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,12670.4,0.96679,2.04937,0.93465,1.09784,0,0.74579,0.56284,0.62696,0.44935,0.71508,0.52873,0.56806,0.33307,0.97844,1.9698,0.91907,1.10383,0,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,12953.5,0.96158,2.03547,0.9373,1.09656,0,0.71837,0.57662,0.62656,0.45017,0.68929,0.54193,0.5702,0.33631,0.97696,1.93864,0.91922,1.09702,0,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,13235.2,0.95228,2.02235,0.92932,1.09028,0,0.72664,0.5864,0.63284,0.45459,0.69818,0.55492,0.57903,0.33869,0.97161,1.93345,0.91118,1.0953,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,13520.4,0.95004,2.03858,0.9139,1.08372,0,0.7356,0.57505,0.62485,0.45129,0.69942,0.54435,0.57017,0.33062,0.95709,1.92727,0.91874,1.08588,0,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,13804.9,0.94751,2.02088,0.91456,1.08385,0,0.74186,0.57671,0.63299,0.45634,0.71833,0.53553,0.5758,0.33811,0.95614,1.93437,0.90532,1.08075,0,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,14090.3,0.93627,2.01798,0.91417,1.08322,0,0.74282,0.56967,0.6306,0.45691,0.71074,0.53577,0.57615,0.34046,0.95119,1.92195,0.90619,1.0827,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
